Date,O3,CO,SO2,NO2,O3 AQI,CO AQI,SO2 AQI,NO2 AQI,PM2.5,PM10,AWND,PRCP,TAVG,year,month,season
2015-09-28,0.024568666666666666,0.30833333333333335,0.3756643333333333,16.546377,37.333333333333336,6.0,2.3333333333333335,29.666666666666668,13.936363636363637,16.0,5.995,0.0,23.333333333333332,2015,9,Fall
2015-09-29,0.023528999999999998,0.3625,0.5073233333333333,18.881818,36.666666666666664,7.333333333333333,2.0,29.333333333333332,12.654545454545454,21.0,5.122,0.0,23.115942028985504,2015,9,Fall
2015-09-30,0.022725333333333333,0.3757246666666667,0.6530903333333332,22.65463366666667,39.666666666666664,7.333333333333333,3.6666666666666665,39.666666666666664,12.470588235294118,39.0,4.876,0.0,24.32367149758454,2015,9,Fall
2015-10-01,0.027627333333333334,0.3875,0.7548913333333332,16.162319,37.666666666666664,7.333333333333333,4.666666666666667,32.0,11.272727272727273,14.0,7.7620000000000005,0.0,21.40096618357488,2015,10,Fall
2015-10-02,0.025196333333333334,0.30416666666666664,0.4677206666666667,13.997101333333333,37.0,5.333333333333333,2.3333333333333335,29.0,8.709090909090909,15.0,7.8069999999999995,0.0,19.855072463768117,2015,10,Fall
2015-10-03,0.036745,0.36527766666666667,0.268599,12.577234333333331,40.333333333333336,6.666666666666667,0.6666666666666666,26.333333333333332,10.1,22.0,7.223999999999999,0.0031914893617021275,20.16908212560386,2015,10,Fall
2015-10-04,0.038392,0.18055533333333332,0.25384266666666666,5.328985333333333,45.333333333333336,2.3333333333333335,0.3333333333333333,11.0,6.9818181818181815,8.0,8.409,0.15924528301886792,14.371980676328503,2015,10,Fall
2015-10-05,0.025902333333333333,0.29722200000000004,0.16055666666666665,13.165216999999998,39.333333333333336,5.333333333333333,0.0,28.666666666666668,6.736363636363635,9.0,4.832,0.1018,14.734299516908212,2015,10,Fall
2015-10-06,0.027705999999999998,0.39722233333333334,0.2925503333333333,16.497114,42.333333333333336,7.666666666666667,0.3333333333333333,29.333333333333332,8.166666666666666,15.0,4.697,0.03306122448979592,17.17391304347826,2015,10,Fall
2015-10-07,0.028588333333333337,0.3930556666666667,0.484265,21.47338566666667,45.0,6.666666666666667,3.0,35.333333333333336,12.19090909090909,21.0,4.742,0.0,20.772946859903385,2015,10,Fall
2015-10-08,0.02402666666666667,0.5397219999999999,0.782365,30.934636333333334,52.0,10.0,3.3333333333333335,50.0,16.79090909090909,18.0,4.519,0.0,24.396135265700487,2015,10,Fall
2015-10-09,0.028940999999999998,0.6333329999999999,0.9227273333333331,33.373913333333334,64.33333333333333,12.0,4.0,59.333333333333336,12.165000000000001,23.0,5.257,0.0,27.318840579710145,2015,10,Fall
2015-10-10,0.034843,0.511111,0.5120443333333333,24.149275333333332,68.66666666666667,11.0,0.6666666666666666,45.0,9.14,16.0,4.697,0.0,26.859903381642507,2015,10,Fall
2015-10-11,0.04431366666666667,0.425,0.6527446666666666,20.423188333333332,87.33333333333333,8.333333333333334,4.0,43.666666666666664,9.94,21.0,4.92,0.0,26.328502415458942,2015,10,Fall
2015-10-12,0.037,0.3749996666666667,0.8648000000000001,24.966666333333336,71.33333333333333,6.666666666666667,2.3333333333333335,45.333333333333336,10.8375,26.0,4.115,0.0,25.966183574879228,2015,10,Fall
2015-10-13,0.021666666666666667,0.2902776666666666,0.4015153333333334,12.787878666666666,33.666666666666664,4.666666666666667,1.6666666666666667,34.0,10.68,23.0,6.087000000000001,0.0,24.80676328502416,2015,10,Fall
2015-10-14,0.017549,0.3055556666666666,0.37487566666666666,14.712187333333333,23.0,5.666666666666667,1.3333333333333333,31.0,10.86,19.0,5.122,0.003469387755102041,23.043478260869566,2015,10,Fall
2015-10-15,0.023999999999999997,0.20000000000000004,0.33526799999999995,8.1,25.0,2.6666666666666665,1.0,12.666666666666666,7.9,13.0,6.464,0.05836734693877551,20.410628019323674,2015,10,Fall
